zagat original string|zagat restaurant name|zagat city name|zagat address|fodors original string|fodors restaurant name|fodors city name|fodors address
Ritz-Carlton Restaurant 181 Peachtree St. Atlanta|Ritz-Carlton Restaurant|Atlanta|181 Peachtree St.|Restaurant  Ritz-Carlton  Atlanta 181 Peachtree St. Atlanta|Restaurant  Ritz-Carlton  Atlanta|Atlanta|181 Peachtree St.
Daniel 20 E. 76th St. New York City|Daniel|New York City|20 E. 76th St.|Daniel 20 E. 76th St. New York|Daniel|New York|20 E. 76th St.
Citrus 6703 Melrose Ave. Los Angeles|Citrus|Los Angeles|6703 Melrose Ave.|Citrus 6703 Melrose Ave. Los Angeles|Citrus|Los Angeles|6703 Melrose Ave.
Chinois on Main 2709 Main St. Santa Monica|Chinois on Main|Santa Monica|2709 Main St.|Chinois on Main 2709 Main St. Santa Monica|Chinois on Main|Santa Monica|2709 Main St.
Mi Cocina 57 Jane St. New York City|Mi Cocina|New York City|57 Jane St.|Mi Cocina 57 Jane St.  off Hudson St. New York|Mi Cocina|New York|57 Jane St.  off Hudson St.
Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles|Arnie Morton's of Chicago|Los Angeles|435 S. La Cienega Blvd.|Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles|Arnie Morton's of Chicago|Los Angeles|435 S. La Cienega Blvd.
Seryna 11 E. 53rd St. New York City|Seryna|New York City|11 E. 53rd St.|Seryna 11 E. 53rd St. New York|Seryna|New York|11 E. 53rd St.
Carnegie Deli 854 Seventh Ave. New York City|Carnegie Deli|New York City|854 Seventh Ave.|Carnegie Deli 854 7th Ave.  between 54th and 55th Sts. New York|Carnegie Deli|New York|854 7th Ave.  between 54th and 55th Sts.
La Grotta 2637 Peachtree Rd. NE Atlanta|La Grotta|NE Atlanta|2637 Peachtree Rd.|La Grotta 2637 Peachtree Rd.  Peachtree HouseCondominium Atlanta|La Grotta|Peachtree HouseCondominium Atlanta|2637 Peachtree Rd.
Art's Deli 12224 Ventura Blvd. Studio City|Art's Deli|Studio City|12224 Ventura Blvd.|Art's Delicatessen 12224 Ventura Blvd. Studio City|Art's Delicatessen|Studio City|12224 Ventura Blvd.
Heera of India 595 Piedmont Ave. Atlanta|Heera of India|Atlanta|595 Piedmont Ave.|Heera of India 595 Piedmont Ave.  Rio Shopping MallAtlanta|Heera of India|Rio Shopping MallAtlanta|595 Piedmont Ave.
Aureole 34 E. 61st St. New York City|Aureole|New York City|34 E. 61st St.|Aureole 34 E. 61st St. New York|Aureole|New York|34 E. 61st St.
Veni Vidi Vici 41 14th St. Atlanta|Veni Vidi Vici|Atlanta|41 14th St.|Veni Vidi Vici 41 14th St. Atlanta|Veni Vidi Vici|Atlanta|41 14th St.
Khan Toke Thai House 5937 Geary Blvd. San Francisco|Khan Toke Thai House|San Francisco|5937 Geary Blvd.|Khan Toke Thai House 5937 Geary Blvd. San Francisco|Khan Toke Thai House|San Francisco|5937 Geary Blvd.
