zagat original string|fodors original string
Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles|Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles
Art's Deli 12224 Ventura Blvd. Studio City|Art's Delicatessen 12224 Ventura Blvd. Studio City
Bel-Air Hotel 701 Stone Canyon Rd. Bel Air|Hotel Bel-Air 701 Stone Canyon Rd. Bel Air
Bernard's 515 S. Olive St. Los Angeles|Bertolini's 3500 Peachtree Rd.  Phipps Plaza Atlanta
Bernard's 515 S. Olive St. Los Angeles|Bertolini's 3570 Las Vegas Blvd. S Las Vegas
Bernard's 515 S. Olive St. Los Angeles|Bardelli's 243 O'Farrell St. San Francisco
Bistro 45 45 S. Mentor Ave. Pasadena|Bistro Garden 176 N. Canon Dr. Los Angeles
Bistro 45 45 S. Mentor Ave. Pasadena|Bistango 1100 Peachtree St. Atlanta
Bistro 45 45 S. Mentor Ave. Pasadena|Bistro 3400 Las Vegas Blvd. S Las Vegas
Bistro 45 45 S. Mentor Ave. Pasadena|Bistro Roti 155 Steuart St. San Francisco
Bruno's 3838 Centinela Ave. Mar Vista|Bruno 240 E. 58th St. New York
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe '50s 838 Lincoln Blvd. Venice|Caf&eacute; Lalo 201 W. 83rd St. New York
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Fes 246 W. 4th St. at Charles St. New York
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Renaissance 7050 Jimmy Carter Blvd.  Norcross Atlanta
Cafe '50s 838 Lincoln Blvd. Venice|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Fes 246 W. 4th St. at Charles St. New York
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Caf&eacute; Bianco 1486 2nd Ave.  between 77th and 78th Sts. New York
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Fes 246 W. 4th St. at Charles St. New York
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Renaissance 7050 Jimmy Carter Blvd.  Norcross Atlanta
Cafe Blanc 9777 Little Santa Monica Blvd. Beverly Hills|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Campanile 624 S. La Brea Ave. Los Angeles|Campanile 624 S. La Brea Ave. Los Angeles
Campanile 624 S. La Brea Ave. Los Angeles|Captain's Table 860 2nd Ave. at 46th St. New York
Campanile 624 S. La Brea Ave. Los Angeles|Camille's 1186 N. Highland Ave. Atlanta
Campanile 624 S. La Brea Ave. Los Angeles|Campton Place 340 Stockton St. San Francisco
Cassell's 3266 W. Sixth St. LA|Camille's 1186 N. Highland Ave. Atlanta
Cassell's 3266 W. Sixth St. LA|Cassis 3300 Peachtree Rd.  Grand Hyatt Atlanta
Chinois on Main 2709 Main St. Santa Monica|Chinois on Main 2709 Main St. Santa Monica
Chinois on Main 2709 Main St. Santa Monica|Chin's 3200 Las Vegas Blvd. S Las Vegas
Citrus 6703 Melrose Ave. Los Angeles|Citrus 6703 Melrose Ave. Los Angeles
Feast from the East 1949 Westwood Blvd. West LA|Feast 2411 W. Sahara Ave. Las Vegas
Fenix at the Argyle 8358 Sunset Blvd. W. Hollywood|Fenix 8358 Sunset Blvd. West Hollywood
Granita 23725 W. Malibu Rd. Malibu|Granita 23725 W. Malibu Rd. Malibu
Granita 23725 W. Malibu Rd. Malibu|Grand Ticino 228 Thompson St.  between W. 3rd and Bleecker Sts. New York
Indo Cafe 10428 1/2 National Blvd. LA|Indochine 430 Lafayette St.  between 4th St. and Astor Pl. New York
Indo Cafe 10428 1/2 National Blvd. LA|Sundown Cafe 2165 Cheshire Bridge Rd. Atlanta
Joe's 1023 Abbot Kinney Blvd. Venice|Joss 9255 Sunset Blvd. Los Angeles
Joe's 1023 Abbot Kinney Blvd. Venice|Bone's 3130 Piedmont Road Atlanta
L'Orangerie 903 N. La Cienega Blvd. W. Hollywood|L'Orangerie 903 N. La Cienega Blvd. Los Angeles
La Cachette 10506 Little Santa Monica Blvd. Century City|La Caravelle 33 W. 55th St. New York
La Cachette 10506 Little Santa Monica Blvd. Century City|La Cote Basque 60 W. 55th St.  between 5th and 6th Ave. New York
Langer's 704 S. Alvarado St. LA|Canter's 419 N. Fairfax Ave. Los Angeles
Le Chardonnay (Los Angeles) 8284 Melrose Ave. Los Angeles|Le Chardonnay 8284 Melrose Ave. Los Angeles
Locanda Veneta 8638 W. Third St. Los Angeles|Locanda Veneta 3rd St. Los Angeles
Main Course  The 10509 W. Pico Blvd. Rancho Park|Main Street 446 Columbus Ave.  between 81st and 82nd Sts. New York
Martha's 22nd Street Grill 25 22nd St. Hermosa Beach|Matsuhisa 129 N. La Cienega Blvd. Beverly Hills
Martha's 22nd Street Grill 25 22nd St. Hermosa Beach|March 405 E. 58th St. New York
Martha's 22nd Street Grill 25 22nd St. Hermosa Beach|Match 160 Mercer St.  between Houston and Prince Sts. New York
Martha's 22nd Street Grill 25 22nd St. Hermosa Beach|Matthew's 1030 3rd Ave. at 61st St. New York
Martha's 22nd Street Grill 25 22nd St. Hermosa Beach|Masa's 648 Bush St. San Francisco
Matsuhisa 129 N. La Cienega Blvd. Beverly Hills|Matsuhisa 129 N. La Cienega Blvd. Beverly Hills
Matsuhisa 129 N. La Cienega Blvd. Beverly Hills|Match 160 Mercer St.  between Houston and Prince Sts. New York
Ocean Park Cafe 3117 Ocean Park Blvd. Santa Monica|Oceana 55 E. 54th St. New York
Ocean Star 145 N. Atlantic Blvd. Monterey Park|Ocean Avenue 1401 Ocean Ave. Santa Monica
Ocean Star 145 N. Atlantic Blvd. Monterey Park|Oceana 55 E. 54th St. New York
Original Pantry Bakery 875 S. Figueroa St. Downtown LA|Oritalia 1915 Fillmore St. San Francisco
Patina 5955 Melrose Ave. Los Angeles|Patina 5955 Melrose Ave. Los Angeles
Patina 5955 Melrose Ave. Los Angeles|Patria 250 Park Ave. S at 20th St. New York
Patina 5955 Melrose Ave. Los Angeles|Pastis 1015 Battery St. San Francisco
Philippe The Original 1001 N. Alameda St. Chinatown|Philippe's The Original 1001 N. Alameda St. Los Angeles
Pinot Bistro 12969 Ventura Blvd. Studio City|Pinot Bistro 12969 Ventura Blvd. Los Angeles
Rex Il Ristorante 617 S. Olive St. Los Angeles|Rex Il Ristorante 617 S. Olive St. Los Angeles
Ruth's Chris Steak House (Los Angeles) 224 S. Beverly Dr. Beverly Hills|Ruth's Chris 148 W. 51st St. New York
Spago (Los Angeles) 8795 Sunset Blvd. W. Hollywood|Spago 1114 Horn Ave. Los Angeles
Sweet Lady Jane 8360 Melrose Ave. LA|Sweet'n'Tart Cafe 76 Mott St. at Canal St. New York
Taiko 11677 San Vicente Blvd. Brentwood|Tapika 950 8th Ave. at 56th St. New York
Tommy's 2575 Beverly Blvd. LA|Jimmy's 201 Moreno Dr. Los Angeles
Tommy's 2575 Beverly Blvd. LA|Tommy Tang's 7313 Melrose Ave. Los Angeles
Tommy's 2575 Beverly Blvd. LA|TomTom 3393 Peachtree Rd. Atlanta
Uncle Bill's Pancake House 1305 Highland Ave. Manhattan Beach|Uncle Nick's 747 9th Ave.  between 50th and 51st Sts. New York
Valentino 3115 Pico Blvd. Santa Monica|Valentino 3115 Pico Blvd. Santa Monica
Valentino 3115 Pico Blvd. Santa Monica|Venetian 3713 W. Sahara Ave. Las Vegas
Water Grill 544 S. Grand Ave. Los Angeles|Water Club 500 E. 30th St. New York
